Cultivo;Campaña;Provincia;Departamento;idProvincia;idDepartamento;Sup. Sembrada;Sup. Cosechada;Producción;Rendimiento
Soja 1ra;2000/01;BUENOS AIRES;JUNIN;6;413;30000;29600;88800;3000
Soja 1ra;2001/02;BUENOS AIRES;JUNIN;6;413;32000;32000;102500;3203
Soja 1ra;2002/03;BUENOS AIRES;JUNIN;6;413;48000;47900;163000;3403
Soja 1ra;2003/04;BUENOS AIRES;JUNIN;6;413;58000;58000;168200;2900
Soja 1ra;2004/05;BUENOS AIRES;JUNIN;6;413;70689;70689;251319;3555
Soja 1ra;2005/06;BUENOS AIRES;JUNIN;6;413;77000;77000;260164;3379
Soja 1ra;2006/07;BUENOS AIRES;JUNIN;6;413;75000;75000;285000;3800
Soja 1ra;2007/08;BUENOS AIRES;JUNIN;6;413;73000;73000;304729;4174
Soja 1ra;2008/09;BUENOS AIRES;JUNIN;6;413;119130;119130;194167;1630
Soja 1ra;2009/10;BUENOS AIRES;JUNIN;6;413;107000;107000;374500;3500
Soja 1ra;2010/11;BUENOS AIRES;JUNIN;6;413;110000;110000;440000;4000
Soja 1ra;2011/12;BUENOS AIRES;JUNIN;6;413;110000;110000;374000;3400
Soja 1ra;2012/13;BUENOS AIRES;JUNIN;6;413;121000;121000;459800;3800
Soja 1ra;2013/14;BUENOS AIRES;JUNIN;6;413;123000;121000;508200;4200
Soja 1ra;2014/15;BUENOS AIRES;JUNIN;6;413;109998;107998;496791;4600
Soja 1ra;2015/16;BUENOS AIRES;JUNIN;6;413;100040;100040;410164;4100
Soja 1ra;2016/17;BUENOS AIRES;JUNIN;6;413;73060;67580;310868;4600
Soja 1ra;2017/18;BUENOS AIRES;JUNIN;6;413;74000;72500;290000;4000
Soja 1ra;2018/19;BUENOS AIRES;JUNIN;6;413;67000;67000;301500;4500
Soja 1ra;2019/20;BUENOS AIRES;JUNIN;6;413;64000;63700;267540;4200
Soja 1ra;2020/21;BUENOS AIRES;JUNIN;6;413;62000;62000;248000;4000
Soja 1ra;2021/22;BUENOS AIRES;JUNIN;6;413;63000;62700;225720;3600
Soja 1ra;2022/23;BUENOS AIRES;JUNIN;6;413;58000;58000;116000;2000
Soja 1ra;2023/24;BUENOS AIRES;JUNIN;6;413;59000;59000;188800;3200
